date, pm25, pm10, o3, no2, so2, co
2020/10/1, 41, 23, 36, 15, 3, 4
2020/10/2, 57, 37, 36, 13, 3, 5
2020/10/3, 66, 27, 40, 8, 3, 4
2020/10/4, 57, 24, 21, 12, 4, 4
2020/10/5, 36, 23, 25, 17, 4, 4
2020/10/6, 47, 26, 17, 24, 4, 5
2020/10/7, 56, 15, 29, 18, 3, 4
2020/10/8, 33, 16, 33, 16, 3, 3
2020/10/9, 35, 17, 38, 17, 3, 4
2020/10/10, 39, 20, 29, 17, 4, 4
2020/10/11, 51, 37, 29, 26, 3, 5
2020/10/12, 75, 26, 24, 22, 3, 4
2020/10/13, 44, 34, 27, 27, 4, 5
2020/10/14, 57, 35, 15, 27, 4, 4
2020/10/15, 51, 39, 7, 42, 4, 7
2020/10/16, 71, 34, 25, 30, 4, 6
2020/10/17, 73, 31, 42, 28, 4, 6
2020/10/18, 69, 58, 41, 39, 6, 8
2020/10/19, 117, 65, 32, 49, 5, 9
2020/10/20, 132, 47, 10, 50, 4, 8
2020/10/21, 87, 65, 27, 30, 4, 6
2020/10/22, 96, 28, 22, 14, 3, 4
2020/10/23, 41, 29, 26, 19, 3, 4
2020/10/24, 47, 32, 27, 33, 5, 7
2020/10/25, 68, 54, 33, 43, 5, 9
2020/10/26, 104, 72, 33, 52, 6, 10
2020/10/27, 149, 51, 22, 25, 4, 5
2020/10/28, 92, 41, 19, 33, 4, 5
2020/10/29, 62, 45, 15, 40, 6, 6
2020/10/30, 69, 29, 30, 32, 4, 6
2020/10/31, 62, 41, 22, 24, 3, 6
2020/11/1, 91, 51, 20, 29, 4, 6
2020/11/2, 73, 23, 21, 11, 3, 3
2020/11/3, 33, 32, 21, 22, 3, 4
2020/11/4, 46, 39, 10, 48, 5, 7
2020/11/5, 72, 50, 7, 56, 6, 8
2020/11/6, 97, 76, 37, 29, 5, 7
2020/11/7, 129, 57, 23, 14, 4, 5
2020/11/8, 60, 29, 13, 22, 4, 4
2020/11/9, 36, 29, 20, 32, 4, 5
2020/11/10, 51, 47, 8, 51, 5, 8
2020/11/11, 80, 61, 9, 69, 6, 9
2020/11/12, 130, 70, 17, 67, 6, 11
2020/11/13, 135, 69, 25, 50, 5, 7
2020/11/14, 136, 68, 31, 47, 5, 10
2020/11/15, 156, 66, 16, 53, 5, 11
2020/11/16, 152, 62, 16, 46, 4, 9
2020/11/17, 136, 44, 4, 37, 3, 7
2020/11/18, 105, 18, 18, 16, 3, 5
2020/11/19, 42, 24, 17, 15, 3, 4
2020/11/20, 62, 27, 12, 26, 3, 5
2020/11/21, 75, 29, 20, 18, 3, 4
2020/11/22, 80, 27, 15, 20, 3, 4
2020/11/23, 66, 28, 6, 39, 4, 6
2020/11/24, 66, 40, 8, 43, 5, 7
2020/11/25, 89, 58, 10, 46, 6, 9
2020/11/26, 131, 45, 16, 29, 5, 7
2020/11/27, 102, 24, 19, 14, 4, 4
2020/11/28, 56, 27, 20, 18, 4, 4
2020/11/29, 64, 28, 17, 26, 4, 5
2020/11/30, 66, 33, 12, 31, 4, 6
2020/12/1, 75, 35, 14, 31, 4, 5
2020/12/2, 76, 30, 21, 21, 5, 5
2020/12/3, 65, 32, 15, 28, 4, 5
2020/12/4, 73, 40, 11, 44, 4, 8
2020/12/5, 87, 48, 18, 40, 4, 8
2020/12/6, 108, 54, 27, 33, 5, 8
2020/12/7, 129, 25, 23, 25, 4, 4
2020/12/8, 62, 42, 4, 51, 6, 8
2020/12/9, 88, 61, 10, 51, 6, 9
2020/12/10, 132, 83, 14, 52, 5, 13
2020/12/11, 169, 54, 22, 31, 6, 7
2020/12/12, 114, 39, 25, 28, 4, 5
2020/12/13, 90, 23, 21, 14, 3, 4
2020/12/14, 51, 19, 20, 16, 4, 4
2020/12/15, 44, 24, 19, 18, 5, 5
2020/12/16, 55, 30, 10, 40, 5, 7
2020/12/17, 72, 37, 19, 32, 5, 7
2020/12/18, 83, 28, 19, 19, 4, 4
2020/12/19, 59, 28, 20, 26, 5, 6
2020/12/20, 66, 42, 7, 54, 5, 11
2020/12/21, 96, 53, 12, 57, 6, 11
2020/12/22, 123, 63, 17, 55, 5, 11
2020/12/23, 148, 51, 22, 31, 4, 6
2020/12/24, 109, 24, 22, 24, 5, 5
2020/12/25, 52, 43, 13, 47, 5, 10
2020/12/26, 97, 51, 16, 45, 5, 9
2020/12/27, 116, 59, 9, 57, 4, 11
2020/12/28, 139, 62, 19, 40, 4, 10
2020/12/29, 141, 37, 20, 12, 3, 4
2020/12/30, 54, 30, 19, 21, 4, 5
2020/12/31, 50, 28, 20, 29, 4, 6
2021/1/1, 68, 35, 23, 16, 4, 5
2021/1/2, 50, 40, 21, 20, 4, 5
2021/1/3, 60, , , , , 
2020/7/1, 47, 52, 67, 21, 3, 6
2020/7/2, 121, 38, 32, 19, 3, 5
2020/7/3, 86, 23, 46, 14, 3, 3
2020/7/4, 62, 29, 57, 14, 3, 4
2020/7/5, 69, 27, 51, 19, 3, 4
