date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-12-01 00:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-17,-8,-2,-8,21,0,31,0.0,1030,-3,10,321,18,seoul
2017-12-01 01:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-17,-7,-2,-7,19,0,31,0.0,1030,-3,10,323,17,seoul
2017-12-01 02:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-17,-6,-2,-6,18,0,30,0.0,1030,-3,10,325,15,seoul
2017-12-01 03:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-17,-6,-1,-6,16,0,29,0.0,1031,-4,10,327,14,seoul
2017-12-01 04:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-18,-6,-1,-6,15,0,26,0.0,1031,-4,10,329,13,seoul
2017-12-01 05:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-20,-5,-1,-5,15,0,23,0.0,1031,-4,10,331,13,seoul
2017-12-01 06:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-21,-5,-1,-5,14,0,19,0.0,1031,-4,10,333,12,seoul
2017-12-01 07:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-22,-3,0,-3,11,0,17,0.0,1032,-4,10,339,9,seoul
2017-12-01 08:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-22,-1,1,-1,8,0,16,0.0,1032,-4,10,345,7,seoul
2017-12-01 09:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-23,1,2,1,5,0,14,0.0,1032,-3,10,352,4,seoul
2017-12-01 10:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-22,1,2,1,4,4,16,0.0,1032,-2,10,303,4,seoul
2017-12-01 11:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-21,1,2,1,4,8,17,0.0,1031,-1,10,253,3,seoul
2017-12-01 12:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-20,1,1,1,3,12,19,0.0,1031,-0,10,204,3,seoul
2017-12-01 13:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-16,1,1,1,5,41,26,0.0,1030,0,10,220,4,seoul
2017-12-01 14:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-13,0,2,0,7,71,34,0.0,1030,1,10,236,6,seoul
2017-12-01 15:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-10,-0,2,-0,9,100,41,0.0,1029,1,10,252,8,seoul
2017-12-01 16:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-8,0,2,0,7,87,47,0.0,1030,2,9,273,6,seoul
2017-12-01 17:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-6,1,2,1,5,74,54,0.0,1030,2,8,294,4,seoul
2017-12-01 18:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-4,2,2,2,2,61,61,0.1,1030,2,7,315,2,seoul
2017-12-01 19:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-4,3,3,3,3,41,60,0.0,1030,1,8,226,2,seoul
2017-12-01 20:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-4,4,4,4,3,20,58,0.0,1030,1,9,137,3,seoul
2017-12-01 21:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-3,5,5,5,3,0,57,0.0,1031,0,10,48,3,seoul
2017-12-01 22:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-3,4,4,4,3,0,57,0.0,1031,0,10,45,3,seoul
2017-12-01 23:00:00,2,-4,0.1,7.0,2,86,03:46 PM,04:07 AM,07:28 AM,05:14 PM,-4,4,4,4,4,0,57,0.0,1031,-0,10,43,3,seoul
2017-12-02 00:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-4,4,4,4,4,0,56,0.0,1031,-0,10,40,3,seoul
2017-12-02 01:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-4,4,4,4,3,0,56,0.0,1031,-1,10,50,3,seoul
2017-12-02 02:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-3,5,5,5,3,0,56,0.0,1031,-1,10,60,3,seoul
2017-12-02 03:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-3,5,5,5,2,0,55,0.0,1031,-1,10,70,2,seoul
2017-12-02 04:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-4,4,5,4,4,0,52,0.0,1031,-1,10,80,3,seoul
2017-12-02 05:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-5,4,5,4,5,0,50,0.0,1031,-1,10,89,4,seoul
2017-12-02 06:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-6,3,4,3,6,0,47,0.0,1030,-1,10,99,5,seoul
2017-12-02 07:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-6,3,4,3,7,0,45,0.0,1030,-1,10,112,6,seoul
2017-12-02 08:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-7,3,4,3,7,0,43,0.0,1030,-0,10,125,6,seoul
2017-12-02 09:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-8,3,5,3,8,0,41,0.0,1030,0,10,138,7,seoul
2017-12-02 10:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-8,3,5,3,8,1,40,0.0,1029,1,10,141,7,seoul
2017-12-02 11:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-8,4,5,4,8,3,39,0.0,1029,2,10,145,7,seoul
2017-12-02 12:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-8,4,6,4,9,4,38,0.0,1028,4,10,148,8,seoul
2017-12-02 13:00:00,5,-1,0.0,7.0,2,93,04:26 PM,05:17 AM,07:29 AM,05:14 PM,-7,4,6,4,8,28,42,0.0,1028,4,10,166,7,seoul
